12617429	(-0.6060269,52.1872032)	The Fox
12637483	(-1.1243096,51.0468039)	The Fox Inn
12711677	(-0.5299905,52.0943283)	The Cock Inn
13118875	(-2.9604192,53.2228407)	Greyhound Inn
13353276	(-0.4441530,51.4099350)	The Harrow
13397613	(-1.5260442,50.6829836)	The Vine
13806207	(-0.9707027,51.4564876)	The Monks' Retreat
13876791	(-0.4865109,52.1144898)	The Mulberry Bush
13876814	(-0.4966327,52.1137559)	The Duke
13876818	(-0.4977594,52.1121678)	The Royal Oak
13878867	(-2.7428741,53.2175293)	The Golden Lion (closed)
13878868	(-2.7209850,53.2071932)	Oak PH
13884871	(-0.5041856,52.1153175)	King William IV
13884875	(-0.5070457,52.1147188)	The Half Moon
13890276	(-0.9521892,51.4567448)	The Jolly Anglers
14071521	(-0.7856220,53.9853551)	Fleece Inn
14165219	(-0.9554990,51.4555716)	The Fishermans Cottage
14188127	(-2.8966445,53.2851584)	The Westminster
14215256	(-2.8679308,53.2536048)	Bunbury Arms
14225172	(-0.5548217,50.8937384)	George and Dragon
14329664	(-1.4837167,51.8346055)	The Royal Oak
14329839	(-1.5301954,51.9002556)	The Tite Inn
14417331	(-1.3999631,51.8109888)	The Oxfordshire Yeoman
14420755	(-0.8995080,51.4460592)	The Good Companions
14497908	(-0.9605789,51.4533427)	The Retreat
14498014	(-0.9565033,51.4430577)	The Queen's Head
14498040	(-0.9573713,51.4529249)	The Weather Station
14588981	(-0.7341023,52.6727071)	The Grainstore Brewery
14592356	(-1.5414280,50.7502284)	The Fishermans Rest 
14592357	(-1.5451913,50.7413551)	The Chequers
14592361	(-1.5447880,50.7614289)	Borough Arms
14592362	(-1.5491497,50.7575005)	The Thomas Tripp
14592364	(-1.5521493,50.7518160)	The White Hart
14592367	(-1.5525458,50.7668713)	The Tollhouse Inn
14676763	(-0.3998667,52.1840597)	The Victoria Arms
14676768	(-0.4256916,52.1768826)	The Horse and Jockey
14733279	(-1.1857968,51.8728912)	The Lion at Wendlebury
14733891	(-1.2220686,51.8570925)	The Chequers
14762330	(-2.7947993,53.2102790)	The White Horse
14839189	(-0.9766710,51.4666190)	The Crown
14852170	(-0.4488650,52.0811531)	The Woolpack
14852701	(-0.4173239,52.0958189)	The Bell
14880450	(-2.9563914,53.1430705)	Red Lion PH
14883044	(-3.0003415,53.1474547)	The Royal Oak
14888813	(-0.9656144,51.4508340)	The Turks
14888839	(-0.9510374,51.4494607)	Fruit Bat
14913973	(-0.4538951,52.1371808)	The Gordon Arms
14915491	(-0.9741530,51.4537986)	The Horn
14915970	(-0.9744439,51.4547273)	The Allied Arms
14952548	(-0.5000060,51.6569454)	The White Horse
14953053	(-0.6109386,51.7010640)	Wild Rover
14953059	(-0.4910589,51.7442932)	Fishery Inn
14953523	(-0.5643062,51.8375082)	The Red Lion
14953526	(-0.6055622,51.8690380)	The Swan
14953544	(-0.6188584,51.9885278)	The Woburn Hotel
14954030	(-0.9747148,51.4544082)	Pavlov's Dog
14954031	(-0.9728096,51.4566598)	The Bugle
15209248	(-0.1752892,50.8255414)	The Better Half
15262028	(-0.1698266,51.5164813)	The Monkey Puzzle
15367196	(-0.4051648,51.7927601)	The Holly Bush
15417211	(-1.4555142,51.9185080)	The Harrow
15417682	(-1.4507041,51.9224220)	The Crown Inn
15504114	(-0.1837983,51.8927158)	The Pear Tree
15613923	(-0.2162719,51.9236227)	Coreys Mill
15613929	(-0.2063066,51.9081603)	Coach and Horses
15738264	(-0.9743138,51.4535092)	Brewdog
15870049	(-0.8994137,51.4990692)	The Plowden Arms
15870064	(-0.9006190,51.5312830)	The Three Horseshoes
15870545	(-0.8407498,51.5537692)	The Dog and Badger
15917645	(-0.7777326,51.5711957)	The Ship
15917646	(-0.7767699,51.5724586)	O'Donaghues
15917654	(-0.7670415,51.5789037)	The Britannia
15917670	(-0.7420702,51.5856104)	The Kings Head
15917671	(-0.7193971,51.5847548)	The Black Lion
15923121	(-0.9894374,51.4505631)	Foresters Arms
15946509	(-0.6897139,51.5810465)	The Old Bell
15949627	(-0.6547651,51.6225468)	The Red Lion
16015589	(-0.9754836,51.4564474)	The Hope Tap
16025447	(-0.9702170,51.4552410)	The Alehouse
16057597	(-0.4331518,51.7484369)	The Green Man
16057598	(-0.4314587,51.7478292)	The Leather Bottle
16059612	(-0.5867694,51.7392816)	The Golden Eagle
16265233	(-2.7613396,53.2778510)	The Horse and Jockey (closed)
16483447	(-1.2825397,51.7452124)	The Fishes
16483511	(-2.7670775,53.2758082)	Railway Inn
16494140	(-1.5790772,50.8774989)	Waterloo Arms
16494895	(-1.5724735,50.8620239)	The Crown Stirrup
16574758	(-1.4316656,50.8265218)	The Royal Oak
16574759	(-1.3681068,50.8074260)	The Langley Tavern
16578903	(-1.3073601,51.0578146)	Black Boy
16728448	(-0.5285889,52.1712305)	Bedford Arms
17178114	(-0.3231293,51.7512271)	The Crown
17308807	(-0.6872691,51.5311664)	Oak and Saw
17356611	(-2.7214673,53.3737836)	The Majors Arms
17356612	(-2.7211840,53.3738195)	The Millfield
17401934	(-0.3290385,51.7502831)	The Horn
17401937	(-0.3307385,51.7505791)	The Robin Hood
17401938	(-0.3324841,51.7508226)	The Victoria
17402266	(-0.3338680,51.7487460)	The Farmer's Boy
17402268	(-0.3320146,51.7477621)	The Great Northern
17573006	(-0.6594603,51.5331401)	The Old Five Bells
17576459	(-0.6585841,51.5359819)	The Bee
17579420	(-2.7252504,53.2952967)	The Cholmondeley Arms
17708621	(0.2217539,52.1833197)	Six Bells
17806375	(-0.2216238,51.4534225)	Green Man
17808568	(1.0003245,52.2230970)	Shoulder of Mutton
17865128	(-2.3644627,51.3809287)	King of Wessex
17959842	(-0.3323992,51.7536315)	The Mermaid
18008860	(-2.6674289,53.1565342)	Crown Hotel
18008861	(-2.6691107,53.1595065)	Rising Sun
18085755	(-1.9153973,53.3231212)	The Royal Oak
18085766	(-1.9157781,53.3235505)	The Roebuck
18085799	(-1.9194502,53.3221444)	New Inn
18085955	(-1.9162935,53.3230874)	Kings Arms Hotel
18085956	(-1.9157502,53.3230646)	The Dog
18086496	(-1.9392183,53.3040719)	The Beehive Inn
18235090	(-0.2266975,51.4628591)	The Arab Boy
18236569	(-1.2819722,51.7018012)	The Flowing Well
18288059	(-0.6662875,52.5750134)	George and Dragon
18312503	(-0.6041714,52.5904583)	Exeter Arms
18331810	(-0.5436811,53.2235776)	The Anchor
18337251	(-0.5506364,52.6324801)	The Northwick Arms
18337815	(-0.7221169,52.5875688)	The Vaults
18356641	(-0.6707535,52.6591446)	The Finch's Arms
18360921	(-1.8727011,51.5450960)	Sally Pussey's Inn
18375315	(-0.5293233,52.6137301)	The Collyweston Slater
18375437	(-0.4768053,52.6481021)	The Bull and Swan
18376347	(-0.7297086,52.6704294)	The Merry Monk
18377653	(-0.6838065,52.6167673)	The Kings Arms
18378618	(-0.5457211,53.2175551)	Shakespeare
18379788	(-0.7030400,52.6322653)	The Horse and Jockey
18379826	(-0.6336622,52.6902944)	The Fox and Hounds Inn
18394385	(-0.5446779,53.2216028)	City Vaults
18395317	(-0.5433163,53.2242670)	The Ritz
18396823	(-0.5397891,53.2289965)	The Still
18461613	(-1.5993504,51.8541450)	The Lamb Inn
18668511	(-0.7273651,52.5884992)	Exeter Arms
18668512	(-0.7205138,52.5878480)	The Royal Oak
18720117	(-1.1175961,52.6745492)	The White Horse
18836606	(-0.5205650,52.6681116)	The Crown
